dname,iteration,base_model,size,Algorithm,Time,AUROC,PRAUC,F1_score,geometric_mean,matthews_corrcoef
glass2,7,DT,20,knop,0.0203638076782226,0.9583333333333334,0.6666666666666667,0.6,0.9486832980505138,0.6210590034081188
glass2,7,DT,20,DESKNN,0.0068655014038085,1.0,1.0,0.5454545454545454,0.9354143466934852,0.5728219618694801
glass2,7,DT,20,deskl,0.0411090850830078,0.9875,0.8666666666666667,0.5454545454545454,0.9354143466934852,0.5728219618694801
glass2,7,DT,20,rrc,0.3610179424285888,0.9875,0.8666666666666667,0.5454545454545454,0.9354143466934852,0.5728219618694801
glass2,8,DT,20,SPE,0.1243066787719726,0.8,0.2954545454545454,0.3333333333333333,0.7416198487095662,0.3078936097835318
glass2,8,DT,20,Easy100,0.1109743118286132,0.9208333333333332,0.3333333333333333,0.3,0.8062257748298549,0.3386825687172889
glass2,8,DT,20,Cascade100,0.1093547344207763,0.85,0.7083333333333333,0.2222222222222222,0.6708203932499369,0.1826285153068233
glass2,8,DT,20,RusBoost100,0.0523719787597656,0.6583333333333332,0.3249999999999999,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,8,DT,20,DES-P,0.0070245265960693,0.8541666666666666,0.3214285714285714,0.3333333333333333,0.7416198487095662,0.3078936097835318
glass2,8,DT,20,META-DES,0.0787580013275146,0.6958333333333333,0.3232558139534883,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,8,DT,20,knorae,0.0073978900909423,0.7208333333333333,0.2010335917312661,0.2222222222222222,0.5400617248673216,0.1531697129362099
glass2,8,DT,20,knorau,0.0074338912963867,0.8500000000000001,0.4833333333333333,0.3333333333333333,0.7416198487095662,0.3078936097835318
glass2,8,DT,20,knop,0.0106556415557861,0.7416666666666667,0.287037037037037,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,8,DT,20,DESKNN,0.0150618553161621,0.9083333333333332,0.5333333333333333,0.25,0.5477225575051661,0.1854345299891061
glass2,8,DT,20,deskl,0.0165460109710693,0.8166666666666668,0.4666666666666667,0.3333333333333333,0.7416198487095662,0.3078936097835318
glass2,8,DT,20,rrc,0.309497594833374,0.8166666666666668,0.4666666666666667,0.3333333333333333,0.7416198487095662,0.3078936097835318
glass2,9,DT,20,SPE,0.0670857429504394,0.8208333333333333,0.7023809523809523,0.3076923076923077,0.7302967433402215,0.2814105882725793
glass2,9,DT,20,Easy100,0.0538630485534668,0.825,0.4555555555555555,0.3333333333333333,0.8366600265340756,0.3741657386773941
glass2,9,DT,20,Cascade100,0.0549650192260742,0.8166666666666667,0.5878136200716846,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,9,DT,20,RusBoost100,0.0541894435882568,0.6416666666666666,0.4029038112522686,0.1666666666666666,0.5163977794943222,0.0834965721446865
glass2,9,DT,20,DES-P,0.00732421875,0.8041666666666667,0.7037037037037037,0.3333333333333333,0.7416198487095662,0.3078936097835318
glass2,9,DT,20,META-DES,0.0333333015441894,0.9208333333333332,0.7435897435897436,0.5,0.7852812659593164,0.4702089867580906
glass2,9,DT,20,knorae,0.0075249671936035,0.7458333333333332,0.239922480620155,0.4,0.7637626158259733,0.3737855113104419
glass2,9,DT,20,knorau,0.0159077644348144,0.8500000000000001,0.7142857142857142,0.2857142857142857,0.7187952884282609,0.2578777752535044
glass2,9,DT,20,knop,0.0120835304260253,0.8666666666666666,0.7192982456140351,0.4,0.7637626158259733,0.3737855113104419
glass2,9,DT,20,DESKNN,0.0075182914733886,0.8833333333333333,0.4415204678362573,0.5,0.7852812659593164,0.4702089867580906
glass2,9,DT,20,deskl,0.0228078365325927,0.8374999999999999,0.7083333333333333,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,9,DT,20,rrc,0.3013176918029785,0.8374999999999999,0.7083333333333333,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,10,DT,20,SPE,0.0639057159423828,0.9041666666666668,0.5075757575757576,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,10,DT,20,Easy100,0.0543348789215087,0.8624999999999999,0.2686868686868686,0.3333333333333333,0.8366600265340756,0.3741657386773941
glass2,10,DT,20,Cascade100,0.0544044971466064,0.85,0.5121212121212121,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,10,DT,20,RusBoost100,0.0533046722412109,0.95,0.6428571428571429,0.5454545454545454,0.9354143466934852,0.5728219618694801
glass2,10,DT,20,DES-P,0.0074679851531982,0.8875,0.35,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,10,DT,20,META-DES,0.196185827255249,0.95,0.5,0.6,0.9486832980505138,0.6210590034081188
glass2,10,DT,20,knorae,0.007056713104248,0.9666666666666668,0.5333333333333333,0.6666666666666666,0.9617692030835672,0.6800735254367721
glass2,10,DT,20,knorau,0.0147974491119384,0.9333333333333332,0.5873015873015872,0.5454545454545454,0.9354143466934852,0.5728219618694801
glass2,10,DT,20,knop,0.0223326683044433,0.9125,0.3888888888888888,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,10,DT,20,DESKNN,0.0071833133697509,0.95,0.4333333333333333,0.5,0.7852812659593164,0.4702089867580906
glass2,10,DT,20,deskl,0.0503880977630615,0.9125,0.5285714285714286,0.4615384615384615,0.9082951062292476,0.49749371855331
glass2,10,DT,20,rrc,0.4056510925292969,0.9125,0.5285714285714286,0.4615384615384615,0.9082951062292476,0.49749371855331
glass2,11,DT,20,SPE,0.0675230026245117,0.7208333333333333,0.1963875205254515,0.2857142857142857,0.7187952884282609,0.2578777752535044
glass2,11,DT,20,Easy100,0.0570223331451416,0.7875,0.2777777777777778,0.1818181818181818,0.5244044240850757,0.1036534978620963
glass2,11,DT,20,Cascade100,0.0564920902252197,0.7749999999999999,0.2567049808429119,0.4,0.7637626158259733,0.3737855113104419
glass2,11,DT,20,RusBoost100,0.055288553237915,0.6916666666666667,0.4121212121212121,0.1818181818181818,0.5244044240850757,0.1036534978620963
glass2,11,DT,20,DES-P,0.007420539855957,0.8041666666666667,0.5083333333333333,0.3333333333333333,0.7416198487095662,0.3078936097835318
glass2,11,DT,20,META-DES,0.1518514156341552,0.6916666666666667,0.2851605758582503,0.25,0.5477225575051661,0.1854345299891061
glass2,11,DT,20,knorae,0.0069174766540527,0.7624999999999998,0.2454780361757106,0.25,0.5477225575051661,0.1854345299891061
glass2,11,DT,20,knorau,0.0174610614776611,0.8250000000000001,0.5142857142857142,0.3333333333333333,0.7416198487095662,0.3078936097835318
glass2,11,DT,20,knop,0.019381046295166,0.75,0.4511494252873563,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,11,DT,20,DESKNN,0.0100173950195312,0.8833333333333333,0.5254901960784314,0.2857142857142857,0.5552777082985894,0.2265733216543158
