,dname,iteration,base_model,Algorithm,Time,AUROC,PRAUC,F1_score,geometric_mean,matthews_corrcoef
91,ps_failure.csv,10,DT,Easy100,2.7405710220336914,0.9861529465509364,0.597636130059225,0.4332784184514003,0.9555348929410356,0.5043914512902047
92,ps_failure.csv,10,DT,Cascade100,1.1072754859924316,0.985746672757728,0.7977516188869792,0.5471898197242842,0.9552011931126826,0.592179318532937
93,ps_failure.csv,10,DT,RusBoost100,1.1992111206054688,0.9859417085427136,0.6053823658927533,0.4096,0.9413093466696312,0.4802035453174489
94,ps_failure.csv,10,DT,DES-P,1.895992994308472,0.9901155474341404,0.752476604773067,0.7093889716840537,0.9253608023836388,0.715295658136084
95,ps_failure.csv,10,DT,META-DES,42.01781725883484,0.9674247601644586,0.3433515438736595,0.5269461077844312,0.9644786651229704,0.5802064660529024
96,ps_failure.csv,10,DT,knorae,2.323097944259644,0.9056411755748438,0.4479163474471762,0.6705035971223021,0.914689554919642,0.6787575225456788
97,ps_failure.csv,10,DT,knorau,2.2339391708374023,0.994059875133242,0.8176662443485276,0.708092485549133,0.9384252755910448,0.7175516326205221
98,ps_failure.csv,10,DT,knop,3.755291700363159,0.9833887010811634,0.4850387246398185,0.5315947843530592,0.9665040321489584,0.5846419870004045
99,ps_failure.csv,10,DT,DESKNN,2.243861198425293,0.9566262829298006,0.5792587113505616,0.6422976501305483,0.9380091277811864,0.6619878720822434
100,ps_failure.csv,11,DT,SPE,1.2161078453063965,0.9867119841632404,0.8279884913558189,0.7048710601719198,0.9401791184572256,0.7152642397687511
101,ps_failure.csv,11,DT,Easy100,2.932246446609497,0.9857324196741284,0.6217746507467684,0.4192,0.952477506471942,0.4922912231416594
102,ps_failure.csv,11,DT,Cascade100,1.1059377193450928,0.9863926907263592,0.7874301108602176,0.540948275862069,0.9424135301253704,0.5822536963537847
103,ps_failure.csv,11,DT,RusBoost100,1.1275901794433594,0.9864952641997868,0.6623422499069905,0.4207961007311129,0.9475416164838266,0.4914268549098401
104,ps_failure.csv,11,DT,DES-P,1.826405048370361,0.9838808588396528,0.7871635106292916,0.7351190476190477,0.942950086290503,0.7422166633240406
105,ps_failure.csv,11,DT,META-DES,70.74566149711609,0.9641558093497792,0.3411964902975359,0.5109780439121756,0.9494902096869968,0.5617025533172284
106,ps_failure.csv,11,DT,knorae,1.9498388767242432,0.914501233439927,0.4655102617039321,0.6765578635014837,0.905313082346187,0.6816324883474593
107,ps_failure.csv,11,DT,knorau,1.9347283840179443,0.9871742957210292,0.838666895582314,0.7222222222222222,0.942567084614959,0.7308816503659978
108,ps_failure.csv,11,DT,knop,4.077029705047607,0.9771181970458348,0.5007473447475809,0.5352697095435685,0.9545099604008016,0.5826052345296802
109,ps_failure.csv,11,DT,DESKNN,2.0800554752349854,0.9534434597228568,0.5901397571239798,0.664804469273743,0.9239497842947306,0.6764575021956019
110,ps_failure.csv,12,DT,SPE,1.1434779167175293,0.9884322217146336,0.8130674059281199,0.6666666666666666,0.9069272012561178,0.6734118565606074
111,ps_failure.csv,12,DT,Easy100,2.8979732990264893,0.9803543779503576,0.5871705209640747,0.4440677966101695,0.954820298775725,0.5123646724332241
112,ps_failure.csv,12,DT,Cascade100,1.339245080947876,0.9828476930105072,0.7605378232300647,0.5496688741721855,0.9392974834676214,0.5879054595951013
113,ps_failure.csv,12,DT,RusBoost100,1.1228306293487549,0.9726130044160196,0.5565860181568516,0.3966309341500765,0.9450409304819976,0.4718021496623092
114,ps_failure.csv,12,DT,DES-P,2.0406665802001958,0.9790641693315062,0.778890947322838,0.6866141732283465,0.8861066961148921,0.6864915923774069
115,ps_failure.csv,12,DT,META-DES,65.43523740768433,0.9337103700319778,0.3502133574000634,0.5256410256410257,0.9325620603184344,0.5664273797301052
116,ps_failure.csv,12,DT,knorae,1.8349101543426516,0.9129243794731232,0.4821703159493049,0.6686303387334315,0.9031418688485466,0.6741694627427094
117,ps_failure.csv,12,DT,knorau,1.8319315910339355,0.9884713263286128,0.8235455394410718,0.6898638426626323,0.905711837894856,0.6934495048501939
118,ps_failure.csv,12,DT,knop,3.714439392089844,0.9562955382975484,0.4619540957647442,0.5284210526315789,0.9416994574324238,0.5721663348039929
119,ps_failure.csv,12,DT,DESKNN,2.1478593349456787,0.9444285670778132,0.5812374869141069,0.6334716459197787,0.905819165165833,0.6446752250403924
120,ps_failure.csv,13,DT,SPE,1.177832841873169,0.9882335312928278,0.7945381336031451,0.6519337016574586,0.9197469213153544,0.664333243704755
121,ps_failure.csv,13,DT,Easy100,2.7127647399902344,0.9815695446931628,0.6218161611343344,0.4238095238095238,0.9613539257156064,0.4996207236262082
122,ps_failure.csv,13,DT,Cascade100,1.0173063278198242,0.9825325414953556,0.751720126374723,0.5197505197505198,0.9394003251623784,0.5644897047406944
123,ps_failure.csv,13,DT,RusBoost100,1.120213270187378,0.9802560682198874,0.6035655661658195,0.4119547657512116,0.9398327077206872,0.4813961717194997
